source,author,title,description,url,urlToImage,publishedAt,content
Engadget,Steve Dent,Elon Musk teases 'working Neuralink device' reveal on August 28th,"Elon Musk has revealed more details about a promised development update for Neuralink, the brain-computer interface designed to help folks with severe brain injuries. Musk said the company will show a “working Neuralink device” during a live webcast on Friday…",https://www.engadget.com/working-neuralink-device-on-august-28th-at-3-pm-et-081007843.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-08%2F5565ae00-e76d-11ea-a79e-831cc99d5d03&client=amp-blogside-v2&signature=8960fc53eae16889c219815642e2bd8f8278ee66,2020-08-26 08:10:07,"Neuralink said it first aims to help amputees, or restore the ability to see, talk and listen. While the company hasn’t announced any human testing, it has been tried on primates, with Musk saying “a… [+421 chars]"
Engadget,Engadget,The Morning After: Microsoft isn't buying TikTok,"Weekends are usually a quiet couple of days for tech news. Not this time, TMA reader. Firstly, Microsoft isn’t buying Tiktok, but a similarly senior tech company — Oracle — is now the most likely (if not the only possible) buyer. Then we have NVIDIA buying AR…",https://www.engadget.com/the-morning-after-microsoft-isnt-buying-tik-tok-112523426.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-09%2F97968bd1-f66f-11ea-bfc7-c4571cd1635c&client=amp-blogside-v2&signature=53e0a8be893053202371a76b6a480af4a480db64,2020-09-14 11:25:45,"Weekends are usually a quiet couple of days for tech news. Not this time, TMA reader. Firstly, Microsoft isn’t buying Tiktok, but a similarly senior tech company — Oracle — is now the most likely (if… [+2605 chars]"
Engadget,Christine Fisher,Neato’s robotic D10 vacuum uses LIDAR-based navigation,"Neato’s newest robotic vacuum, the Neato D10, uses LIDAR-based technology and a HEPA filter that captures virtually 100 percent of allergens, the company says. It offers a runtime of 150 minutes, the widest brush and largest dirt bin on the market, supposedly…",https://www.engadget.com/neato-d10-robotic-vacuum-lidar-hepa-151909764.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-09%2Fad3e2730-eebe-11ea-bebf-96fabf77839f&client=amp-blogside-v2&signature=d82dcec9b3f5427b99c26f37f346a1d78f26cfd3,2020-09-04 15:19:09,"Thanks to the upgraded app, users will be able to set up their Neato D10 in just six steps. As promised, Neato vacuums now work with Siri Shortcuts, as well as Alexa and Google Assistant. You can map… [+736 chars]"
Engadget,Jon Fingas,SoftBank is reportedly close to selling ARM to NVIDIA,"SoftBank might be close to finding a buyer for ARM, and it won’t surprise you who the bidder might be. Wall Street Journal sources say SoftBank is close to a deal to sell ARM Holdings to NVIDIA for “more than” $40 billion. The two have reportedly been in excl…",https://www.engadget.com/softbank-near-selling-arm-to-nvidia-190823916.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-09%2F477f82d0-f527-11ea-aff5-5ea05774eaae&client=amp-blogside-v2&signature=e0e36c1765c9789d6701d955eb45e89726e4d1db,2020-09-12 19:08:23,"NVIDIA declined to comment to Engadget. We’ve also asked SoftBank and ARM for comment.
If a deal goes through, it could represents one of the largest semiconductor buyouts in history. It potentially… [+694 chars]"
Engadget,Jessica Conditt,Alphabet's Verily begins offering stop-loss health insurance,"Verily, Alphabet’s healthcare business, is overseeing a new subsidiary that will offer stop-loss insurance to employers. Coefficient Insurance Company is backed by insurance megacorp Swiss Re, and relies on data analytics to predict and reduce risk.Stop-loss …",https://www.engadget.com/alphabet-verily-health-inscurance-coefficient-212604107.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-08%2F85cd1c10-e716-11ea-affd-7cff564067af&client=amp-blogside-v2&signature=4406726e30119753e82b776084dedc3e13feb660,2020-08-25 21:26:04,"Verily is bringing the hardware, software and data science to Coefficient, while Swiss Re has the distribution network and practical knowledge in the $20 billion stop-loss market. Swiss Re made a min… [+840 chars]"
Engadget,Devindra Hardawar,"Intel unveils Tiger Lake CPUs, rebrands Project Athena as 'Intel Evo'","Intel gave us a deep look at its upcoming 11th generation”Tiger Lake” CPUs last month — now, it’s officially unveiling the chips we can expect in thin and light laptops later this year. And that’s not all: the company also announced “Intel Evo,” the second it…",https://www.engadget.com/intel-tiger-lake-launch-evo-project-athena-164502057.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-09%2F22a5b540-ed3b-11ea-bbe5-d747f07606d0&client=amp-blogside-v2&signature=f8d962e999fb02e26685546b3676884d43e42851,2020-09-02 16:45:02,Intel is offering Tiger Lake chips in two packages: One with a 12 to 28-watt thermal profile and other reaching 7 to 14 watts. That gives PC makers the flexibility to use the CPUs in a variety of har… [+774 chars]
Engadget,Karissa Bell,How TikTok got caught in the middle of a trade war with China,"Less than three years after merging with Musical.ly, TikTok looked like it might just achieve something many have tried but few have accomplished: becoming an actual competitor with Facebook and Instagram.Then Donald Trump stepped in. 
After weeks of threats,…",https://www.engadget.com/how-tiktok-got-caught-in-middle-trade-war-with-china-223010428.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-08%2F5cb0a910-ebde-11ea-b7b7-faee78bf78d0&client=amp-blogside-v2&signature=61056613af4b1ff860b5b9478bc70b0d6400dff6,2020-09-04 22:30:10,"After weeks of threats, the president delivered an ultimatum to TikTok and its owner ByteDance: sell the app’s US operations to an American company or it would be banned. He gave the company little m… [+1296 chars]"
Engadget,Mariella Moon,Portland officials pass strict ban on facial recognition systems,"Portland, Oregon officials have passed what could be the strictest municipal ban on facial recognition in the country. It’s not just local government units, such as the police, that can no longer use facial recognition under the city’s new regulations — priva…",https://www.engadget.com/portland-facial-recognition-ban-035952590.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-09%2F7e29be80-f311-11ea-b3ce-7a6e647c658b&client=amp-blogside-v2&signature=7a3bb6eaa1bb0112d00229fc3bde099ddf728a81,2020-09-10 03:59:52,"Portland’s officials first revealed that they were working on the bill back in November 2019, and that if the bill passes, it will be the first to prohibit private businesses from deploying facial re… [+1364 chars]"
Engadget,Christine Fisher,Google makes it easier to find local news through Podcasts and Assistant,"While news podcasts are increasingly popular, most focus on national and global news. It tends to be harder to find local news, especially in an on-demand, audio format. Google wants to change this. Today, it announced plans to bring Your News Update to Googl…",https://www.engadget.com/google-local-news-podcasts-app-assistant-145951020.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-images%2F2020-04%2F6b281450-7f88-11ea-8fef-3fdb50d1a398&client=amp-blogside-v2&signature=7bd274bcbc5ecd5bf994ddb80db9490b6dab8f90,2020-09-02 14:59:51,"You’ll also be able to find local news through Google Assistant. When you ask a Google Nest smart speaker to “play local news” or “play news about [your city],” you’ll hear local news stories in both… [+1014 chars]"
Engadget,Mariella Moon,FDA approves first automated insulin system for kids,"Testing blood sugar frequently and administering insulin as needed throughout the day isn’t easy, especially if the individual with diabetes is a young child who can’t do it on their own yet. Now, there’s an FDA-sanctioned device that could make things easier…",https://www.engadget.com/fda-approves-automated-insulin-system-for-kids-090120022.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-09%2F1e7c5bc0-ec1b-11ea-bbfc-eb6664f0b660&client=amp-blogside-v2&signature=770c4754a29035b9bc4def3df40cca660353200e,2020-09-01 09:01:20,The device’s sensor that’s attached to the patient’s body can measure glucose levels under the skin every five minutes. It also comes with a pump and an infusion patch connected to the pump with a ca… [+1064 chars]
Engadget,Nick Summers,Google Docs update makes it easier for visually impaired users to navigate,"Google is making it easier for visually impaired people to use its Microsoft Office alternatives. The biggest change is a new shortcut — Ctrl+Alt+H on Windows, and CMD+Option+H on Mac — to instantly toggle Braille support in Docs, Sheets and Slides. Navigatio…",https://www.engadget.com/google-docs-update-braille-support-shortcuts-navigation-verbalized-133049191.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-09%2Fcc15eff0-ec50-11ea-b7d3-029b47c353b8&client=amp-blogside-v2&signature=5e8c432f5f7533a6dcab34a90aa95ce5cffcaa8b,2020-09-01 13:30:49,"Google is making it easier for visually impaired people to use its Microsoft Office alternatives. The biggest change is a new shortcut — Ctrl+Alt+H on Windows, and CMD+Option+H on Mac — to instantly … [+1081 chars]"
Engadget,Igor Bonifacic,Uber will require some riders to verify they're wearing masks,"As an Uber passenger, you already have to verify that you've washed or sanitized your hands and that you're wearing a mask before getting into a ride. But the company will soon require users who show disregard or ignorance of those rules to submit to addition…",https://www.engadget.com/uber-rider-mask-selfie-verification-140016317.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-08%2Fb792cee0-ebd3-11ea-ad9b-dcd4bc8cf093&client=amp-blogside-v2&signature=0b7f484c675f50548d185f0df1f30a909f932dac,2020-09-01 12:00:16,"As an Uber passenger, you already have to verify that you've washed or sanitized your hands and that you're wearing a mask before getting into a ride. But the company will soon require users who show… [+1008 chars]"
Engadget,Valentina Palladino,Segway's ES2 electric scooter is nearly 50 percent off at Amazon,"If you’re looking for a fun and convenient way to travel short distances, an electric scooter can do the trick. Most can be pretty expensive, but one of Segway’s scooters is deeply discounted right now. Amazon has the Segway Ninebot ES2 electric scooter for $…",https://www.engadget.com/segway-ninebot-es2-electric-scooter-sale-coupon-amazon-141044227.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-07%2F728aeaa0-cddb-11ea-93fc-ff1eb51e6c38&client=amp-blogside-v2&signature=2f6694ff6a48110ec8e9da891db56a60fe97ec29,2020-09-04 14:10:44,"The previous low for this scooter was $469, so this is an excellent deal. It’s unclear how long the additional $90 coupon will be available, but it remains a good deal even if you only get it for the… [+1352 chars]"
Engadget,Jon Fingas,Ransomware may have led to the death of a German hospital patient,"Ransomware is known to have serious consequences, but one of the latest attacks might have been fatal. BBC News reports (via MIT Technology Review) that prosecutors in Cologne, Germany have launched a negligent homicide investigation after a Düsseldorf Univer…",https://www.engadget.com/ransomware-death-at-german-hospital-210309749.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-09%2F21736ac0-fab8-11ea-afbc-52d669b79c17&client=amp-blogside-v2&signature=e6e211792a8fdb2983ab5c01f9ad02f100ad6128,2020-09-19 21:03:09,"Whatever the intentions, this may have been an avoidable breach. The intruders exploited a known security flaw in Citrix’s VPN software, and Germany’s cybersecurity authority said it warned of the vu… [+421 chars]"
Engadget,Karissa Bell,What we know about Trump’s ‘ban’ on TikTok and WeChat,"When the Department of Commerce said Friday that it would soon bar all new downloads of WeChat and TikTok from US App Stores, it marked the latest escalation in the weeks-long saga over TikTok’s future in America. The drama has been playing out since early Au…",https://www.engadget.com/trump-ban-tiktok-wechat-explained-213510286.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-09%2F34b90aa0-f9f4-11ea-bf45-0d211ec416f9&client=amp-blogside-v2&signature=aea92362f84577b6267aefe163a1efc63a681006,2020-09-18 21:35:10,"The second date is November 12, when the Commerce Department says the service will face a more sweeping ban that will bar any use of TikTok at all. But this is hardly set in stone either. It notes th… [+5313 chars]"
Engadget,Valentina Palladino,Fitbit’s $329 Sense smartwatch tracks ECG and your body’s stress response,"While Fitbit focused on fitness trackers earlier this year with the launch of the Charge 4, the fall is all about new smartwatches. The latest timepiece from the company is the $329 Fitbit Sense, an “advanced health” wearable that includes new hardware like a…",https://www.engadget.com/fitbit-sense-smartwatch-versa-3-inspire-2-price-specs-availability-130050204.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-08%2F7b865a90-e631-11ea-bded-80cc10c26115&client=amp-blogside-v2&signature=60bc584f33d7cc77d4ae90aafca0b2f128d4da07,2020-08-25 13:01:32,"This feeds into Fitbit’s renewed focus on helping users track and manage stress, which now goes beyond the guided breathing exercises already available on most of its wearables. The EDA sensor record… [+4146 chars]"
Engadget,Chris Velazco,Facebook launches Campus to keep college kids connected (again),"When you see Mark Zuckerberg being grilled by Congress or listening to people discuss his company's role in presidential elections, it can be easy to forget Facebook's roots as a college-only social network. Now, with a new school year upon us, Facebook is em…",https://www.engadget.com/facebook-campus-college-only-social-network-again-150534405.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-09%2F717b9870-f375-11ea-a67f-a1edc596e968&client=amp-blogside-v2&signature=3f04f67cca19a2b203d991a236fd7dc235135618,2020-09-10 15:05:34,"When you see Mark Zuckerberg being grilled by Congress or listening to people discuss his company's role in presidential elections, it can be easy to forget Facebook's roots as a college-only social … [+2186 chars]"
Engadget,Billy Steele,Qualcomm's adaptive ANC adjusts to changes in earbud fit,"Active Noise Cancellation (ANC) has been a standard feature on true wireless earbuds for quite some time. Due to the nature of the earbud design, noise cancellation has to account for ambient noise differently than traditional over-ear headphones. Instead of …",https://www.engadget.com/qualcomm-adaptive-active-noise-cancellation-true-wireless-earbuds-073005979.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-09%2Ffd9ce2d0-ed2d-11ea-bbf7-acfcaaba8072&client=amp-blogside-v2&signature=82b049b44e93a7263a38461a36e708b545e89145,2020-09-03 07:30:05,"Qualcomm says its adaptive noise cancellation system can also account for changes to fit during activities like running. And when the noise level of your environment gets louder or softer, it can inc… [+1892 chars]"
Engadget,Devindra Hardawar,How 'Coraline' studio Laiki uses Intel's AI to perfect stop motion films,"Laika, the stop motion animation studio behind films like Coraline and Kubo and the Two Strings, isn't afraid to embrace new technology. We chronicled how it used 3D printing to add a whole new level of detail to 2012 film Paranorman. Now, the studio has its …",https://www.engadget.com/laika-intel-machine-learning-stop-motion-134526313.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-08%2F7171a041-ebc8-11ea-b9bc-248c0540db59&client=amp-blogside-v2&signature=18a0f50799cd24540a9cecc77b93ff7e7b85c3bc,2020-09-01 13:45:26,"At one point, the studio even considered leaving those artifacts in the films to add a bit of character to the scene. It could have been a way to remind audiences that everything they’re watching is … [+1276 chars]"
Engadget,Jon Fingas,US considers blocking deals with China's largest chip maker,The US’ trade bans on Chinese companies like Huawei and ZTE might have been just the beginning. The Defense Department has confirmed to the Wall Street Journal that agencies are discussing whether or not they’ll add China’s Semiconductor Manufacturing Interna…,https://www.engadget.com/us-may-blacklist-china-chip-maker-smic-192314617.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-09%2Fd62f7f90-efa9-11ea-bfb7-e29aa598ae84&client=amp-blogside-v2&signature=027edd30b05e01709d1e9c82e903298b1095f947,2020-09-05 19:23:14,"SMIC rejected the alleged defense connection in a statement. It insisted that it offers chips and services “solely” for civilian uses, and that it had “no relationship with the Chinese military.” SOS… [+705 chars]"
Engadget,Nicole Lee,Vue Lite smart glasses aren't that smart,"In 2016, Vue debuted its first pair of smart glasses on Kickstarter, where it raised over $2 million. But unlike AR glasses such as North’s Focals, the Vue Pro ($299) were regular frames with built-in speakers. It featured bone conduction technology, the abil…",https://www.engadget.com/vue-lite-smart-glasses-hands-on-150048078.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-08%2Fa0b2cfe0-e665-11ea-a9bd-5770ab72188f&client=amp-blogside-v2&signature=c64476abb3319aee9950a3d9b905515fb9365a40,2020-08-25 15:00:48,"In a lot of ways, the Vue Lite is akin to Amazon’s Echo Frames (which haven’t officially launched yet) as well as the Bose Frames (albeit without the latter’s AR and gesture elements). But after tryi… [+6508 chars]"
Engadget,Nicole Lee,"Tile's new service will offer up to $1,000 if it can't find your stuff","One of the defining features of Tile’s Bluetooth trackers is the ability to tap into a crowdsourced network to help you find your things. Any users’ Tile app, not just your own, can ping the whereabouts of your tracker, allowing you to locate your stuff even …",https://www.engadget.com/tile-premium-protect-150028951.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-09%2Ff8c863d0-f271-11ea-b7fb-8bacbe24c5b6&client=amp-blogside-v2&signature=9b8124ba98d242a71d405481e6f4fc78c9a91d90,2020-09-09 15:00:28,The Premium Protect service will cover not just Tile trackers but also Tile-enabled partner products like SkullCandy earbuds and the HP Elite Dragonfly laptop. The service warranty is provided in par… [+2598 chars]
Engadget,Devindra Hardawar,NVIDIA RTX 3080 review: A huge leap for 4K gaming with raytracing,"NVIDIA spent the past two years selling the idea of real-time ray tracing. And I mean, really selling it. There was the slick Star Wars demo that showed where the technology could lead. There were partnerships with EA to bring it to games like Battlefield V. …",https://www.engadget.com/nvidia-rtx-3080-review-ray-tracing-130054340.html,https://o.aolcdn.com/images/dims?resize=1200%2C630&crop=1200%2C630%2C0%2C0&quality=95&image_uri=https%3A%2F%2Fs.yimg.com%2Fos%2Fcreatr-uploaded-images%2F2020-09%2F729754b5-f6c2-11ea-bd7d-3963b471ba98&client=amp-blogside-v2&signature=54afb6b9663e682b9485f476dda1c7a5f7fd16f5,2020-09-16 13:00:54,"The 3080 Founders Edition card we reviewed isn’t much bigger than the 2080 Ti. It has a sleek, almost office-professional aesthetic that’s a nice contrast to the gaudy third-party cards we’ll inevita… [+2650 chars]"
